Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""1s.19g""","=""3G""","=""4""",9,"=""[""","=""24.54970477784814""","=""]""","=""0.00000000000025""","=""002001.000602""","=""L22715c201"""
"=""1s.19g""","=""3G""","=""5""",11,"=""[""","=""24.54970478408442""","=""]""","=""0.00000000000025""","=""002001.000627""","=""L22715c201"""
"=""1s.19g""","=""3G""","=""3""",7,"=""[""","=""24.54970478977393""","=""]""","=""0.00000000000025""","=""002001.000577""","=""L22715c201"""
"=""1s.19g""","=""1G""","=""4""",9,"=""[""","=""24.54970479363046""","=""]""","=""0.00000000000025""","=""002001.000552""","=""L22715c201"""
"=""1s.19h""","=""3H*""","=""5""",11,"=""[""","=""24.54970508705692""","=""]""","=""0.00000000000025""","=""002001.000702""","=""L22715c201"""
"=""1s.19h""","=""3H*""","=""6""",13,"=""[""","=""24.54970509113377""","=""]""","=""0.00000000000025""","=""002001.000727""","=""L22715c201"""
"=""1s.19h""","=""3H*""","=""4""",9,"=""[""","=""24.54970509483395""","=""]""","=""0.00000000000025""","=""002001.000677""","=""L22715c201"""
"=""1s.19h""","=""1H*""","=""5""",11,"=""[""","=""24.54970509759533""","=""]""","=""0.00000000000025""","=""002001.000652""","=""L22715c201"""
"=""1s.19i""","=""3I""","=""6""",13,"=""[""","=""24.54970518825704""","=""]""","=""0.00000000000025""","=""002001.000802""","=""L22715c201"""
"=""1s.19i""","=""3I""","=""7""",15,"=""[""","=""24.54970519111661""","=""]""","=""0.00000000000025""","=""002001.000827""","=""L22715c201"""
"=""1s.19i""","=""3I""","=""5""",11,"=""[""","=""24.54970519372214""","=""]""","=""0.00000000000025""","=""002001.000777""","=""L22715c201"""
"=""1s.19i""","=""1I""","=""6""",13,"=""[""","=""24.54970519579230""","=""]""","=""0.00000000000025""","=""002001.000752""","=""L22715c201"""
"=""1s.19p""","=""1P*""","=""1""",3,"=""[""","=""24.5497533137915""","=""]""","=""0.0000000000025""","=""002001.000252""","=""L22715c201"""
"=""1s.20s""","=""3S""","=""1""",3,"=""[""","=""24.55234727581""","=""]""","=""0.00000000003""","=""002001.000233""","=""L22715c201"""
"=""1s.20s""","=""1S""","=""0""",1,"=""[""","=""24.55289899570""","=""]""","=""0.00000000004""","=""002001.000208""","=""L22715c201"""
"=""1s.20p""","=""3P*""","=""2""",5,"=""[""","=""24.553145916683""","=""]""","=""0.000000000014""","=""002001.000328""","=""L22715c201"""
"=""1s.20p""","=""3P*""","=""1""",3,"=""[""","=""24.553145925030""","=""]""","=""0.000000000014""","=""002001.000303""","=""L22715c201"""
"=""1s.20p""","=""3P*""","=""0""",1,"=""[""","=""24.553146027712""","=""]""","=""0.000000000014""","=""002001.000278""","=""L22715c201"""
"=""1s.20d""","=""3D""","=""3""",7,"=""[""","=""24.5533696617467""","=""]""","=""0.0000000000016""","=""002001.000428""","=""L22715c201"""
"=""1s.20d""","=""3D""","=""2""",5,"=""[""","=""24.5533696630594""","=""]""","=""0.0000000000016""","=""002001.000403""","=""L22715c201"""
"=""1s.20d""","=""3D""","=""1""",3,"=""[""","=""24.5533696813030""","=""]""","=""0.0000000000016""","=""002001.000378""","=""L22715c201"""
"=""1s.20d""","=""1D""","=""2""",5,"=""[""","=""24.5533722807159""","=""]""","=""0.0000000000011""","=""002001.000353""","=""L22715c201"""
"=""1s.20f""","=""3F*""","=""3""",7,"=""[""","=""24.5533779320559""","=""]""","=""0.0000000000006""","=""002001.000503""","=""L22715c201"""
"=""1s.20f""","=""3F*""","=""4""",9,"=""[""","=""24.55337793629091""","=""]""","=""0.00000000000025""","=""002001.000528""","=""L22715c201"""
"=""1s.20f""","=""3F*""","=""2""",5,"=""[""","=""24.55337794482623""","=""]""","=""0.00000000000025""","=""002001.000478""","=""L22715c201"""
"=""1s.20f""","=""1F*""","=""3""",7,"=""[""","=""24.5533779599663""","=""]""","=""0.0000000000005""","=""002001.000453""","=""L22715c201"""
"=""1s.20g""","=""3G""","=""4""",9,"=""[""","=""24.55337901209176""","=""]""","=""0.00000000000025""","=""002001.000603""","=""L22715c201"""
"=""1s.20g""","=""3G""","=""5""",11,"=""[""","=""24.55337901743833""","=""]""","=""0.00000000000025""","=""002001.000628""","=""L22715c201"""
"=""1s.20g""","=""3G""","=""3""",7,"=""[""","=""24.55337902231636""","=""]""","=""0.00000000000025""","=""002001.000578""","=""L22715c201"""
"=""1s.20g""","=""1G""","=""4""",9,"=""[""","=""24.55337902562314""","=""]""","=""0.00000000000025""","=""002001.000553""","=""L22715c201"""
"=""1s.20h""","=""3H*""","=""5""",11,"=""[""","=""24.55337927753287""","=""]""","=""0.00000000000025""","=""002001.000703""","=""L22715c201"""
"=""1s.20h""","=""3H*""","=""6""",13,"=""[""","=""24.55337928102836""","=""]""","=""0.00000000000025""","=""002001.000728""","=""L22715c201"""
"=""1s.20h""","=""3H*""","=""4""",9,"=""[""","=""24.55337928420074""","=""]""","=""0.00000000000025""","=""002001.000678""","=""L22715c201"""
"=""1s.20h""","=""1H*""","=""5""",11,"=""[""","=""24.55337928656834""","=""]""","=""0.00000000000025""","=""002001.000653""","=""L22715c201"""
"=""1s.20i""","=""3I""","=""6""",13,"=""[""","=""24.55337936445745""","=""]""","=""0.00000000000025""","=""002001.000803""","=""L22715c201"""
"=""1s.20i""","=""3I""","=""7""",15,"=""[""","=""24.55337936690924""","=""]""","=""0.00000000000025""","=""002001.000828""","=""L22715c201"""
"=""1s.20i""","=""3I""","=""5""",11,"=""[""","=""24.55337936914306""","=""]""","=""0.00000000000025""","=""002001.000778""","=""L22715c201"""
"=""1s.20i""","=""1I""","=""6""",13,"=""[""","=""24.55337937091802""","=""]""","=""0.00000000000025""","=""002001.000753""","=""L22715c201"""
"=""1s.20p""","=""1P*""","=""1""",3,"=""[""","=""24.5534206352452""","=""]""","=""0.0000000000021""","=""002001.000253""","=""L22715c201"""
"=""1s.21s""","=""3S""","=""1""",3,"=""[""","=""24.55565069436""","=""]""","=""0.00000000003""","=""002001.000234""","=""L22715c201"""
"=""1s.21s""","=""1S""","=""0""",1,"=""[""","=""24.55612653018""","=""]""","=""0.00000000003""","=""002001.000209""","=""L22715c201"""
"=""1s.21p""","=""3P*""","=""2""",5,"=""[""","=""24.556339637531""","=""]""","=""0.000000000012""","=""002001.000329""","=""L22715c201"""
"=""1s.21p""","=""3P*""","=""1""",3,"=""[""","=""24.556339644738""","=""]""","=""0.000000000012""","=""002001.000304""","=""L22715c201"""
"=""1s.21p""","=""3P*""","=""0""",1,"=""[""","=""24.556339733387""","=""]""","=""0.000000000012""","=""002001.000279""","=""L22715c201"""
"=""1s.21d""","=""3D""","=""3""",7,"=""[""","=""24.5565328762861""","=""]""","=""0.0000000000014""","=""002001.000429""","=""L22715c201"""
"=""1s.21d""","=""3D""","=""2""",5,"=""[""","=""24.5565328774206""","=""]""","=""0.0000000000014""","=""002001.000404""","=""L22715c201"""
"=""1s.21d""","=""3D""","=""1""",3,"=""[""","=""24.5565328931795""","=""]""","=""0.0000000000014""","=""002001.000379""","=""L22715c201"""
"=""1s.21d""","=""1D""","=""2""",5,"=""[""","=""24.5565351408426""","=""]""","=""0.0000000000010""","=""002001.000354""","=""L22715c201"""
"=""1s.21f""","=""3F*""","=""3""",7,"=""[""","=""24.5565400235702""","=""]""","=""0.0000000000005""","=""002001.000504""","=""L22715c201"""
"=""1s.21f""","=""3F*""","=""4""",9,"=""[""","=""24.55654002722019""","=""]""","=""0.00000000000025""","=""002001.000529""","=""L22715c201"""
"=""1s.21f""","=""3F*""","=""2""",5,"=""[""","=""24.55654003459341""","=""]""","=""0.00000000000025""","=""002001.000479""","=""L22715c201"""
"=""1s.21f""","=""1F*""","=""3""",7,"=""[""","=""24.5565400477051""","=""]""","=""0.0000000000005""","=""002001.000454""","=""L22715c201"""
"=""1s.21g""","=""3G""","=""4""",9,"=""[""","=""24.55654095717917""","=""]""","=""0.00000000000025""","=""002001.000604""","=""L22715c201"""
"=""1s.21g""","=""3G""","=""5""",11,"=""[""","=""24.55654096179770""","=""]""","=""0.00000000000025""","=""002001.000629""","=""L22715c201"""
"=""1s.21g""","=""3G""","=""3""",7,"=""[""","=""24.55654096601155""","=""]""","=""0.00000000000025""","=""002001.000579""","=""L22715c201"""
"=""1s.21g""","=""1G""","=""4""",9,"=""[""","=""24.55654096886802""","=""]""","=""0.00000000000025""","=""002001.000554""","=""L22715c201"""
"=""1s.21h""","=""3H*""","=""5""",11,"=""[""","=""24.55654118672500""","=""]""","=""0.00000000000025""","=""002001.000704""","=""L22715c201"""
"=""1s.21h""","=""3H*""","=""6""",13,"=""[""","=""24.55654118974451""","=""]""","=""0.00000000000025""","=""002001.000729""","=""L22715c201"""
"=""1s.21h""","=""3H*""","=""4""",9,"=""[""","=""24.55654119248506""","=""]""","=""0.00000000000025""","=""002001.000679""","=""L22715c201"""
"=""1s.21h""","=""1H*""","=""5""",11,"=""[""","=""24.55654119453030""","=""]""","=""0.00000000000025""","=""002001.000654""","=""L22715c201"""
"=""1s.21i""","=""3I""","=""6""",13,"=""[""","=""24.55654126193121""","=""]""","=""0.00000000000025""","=""002001.000804""","=""L22715c201"""
"=""1s.21i""","=""3I""","=""7""",15,"=""[""","=""24.55654126404923""","=""]""","=""0.00000000000025""","=""002001.000829""","=""L22715c201"""
"=""1s.21i""","=""3I""","=""5""",11,"=""[""","=""24.55654126597905""","=""]""","=""0.00000000000025""","=""002001.000779""","=""L22715c201"""
"=""1s.21i""","=""1I""","=""6""",13,"=""[""","=""24.55654126751224""","=""]""","=""0.00000000000025""","=""002001.000754""","=""L22715c201"""
"=""1s.21p""","=""1P*""","=""1""",3,"=""[""","=""24.5565769200690""","=""]""","=""0.0000000000019""","=""002001.000254""","=""L22715c201"""
"=""1s.22s""","=""3S""","=""1""",3,"=""[""","=""24.55850808692""","=""]""","=""0.00000000003""","=""002001.000235""","=""L22715c201"""
"=""1s.22s""","=""1S""","=""0""",1,"=""[""","=""24.55892134105""","=""]""","=""0.00000000003""","=""002001.000210""","=""L22715c201"""
"=""1s.22p""","=""3P*""","=""2""",5,"=""[""","=""24.559106538582""","=""]""","=""0.000000000011""","=""002001.000330""","=""L22715c201"""
"=""1s.22p""","=""3P*""","=""1""",3,"=""[""","=""24.559106544847""","=""]""","=""0.000000000010""","=""002001.000305""","=""L22715c201"""
"=""1s.22p""","=""3P*""","=""0""",1,"=""[""","=""24.559106621908""","=""]""","=""0.000000000011""","=""002001.000280""","=""L22715c201"""
"=""1s.22d""","=""3D""","=""3""",7,"=""[""","=""24.5592745737552""","=""]""","=""0.0000000000012""","=""002001.000430""","=""L22715c201"""
"=""1s.22d""","=""3D""","=""2""",5,"=""[""","=""24.5592745747420""","=""]""","=""0.0000000000012""","=""002001.000405""","=""L22715c201"""
"=""1s.22d""","=""3D""","=""1""",3,"=""[""","=""24.5592745884477""","=""]""","=""0.0000000000012""","=""002001.000380""","=""L22715c201"""
"=""1s.22d""","=""1D""","=""2""",5,"=""[""","=""24.5592765449833""","=""]""","=""0.0000000000009""","=""002001.000355""","=""L22715c201"""
"=""1s.22f""","=""3F*""","=""3""",7,"=""[""","=""24.5592807923584""","=""]""","=""0.0000000000005""","=""002001.000505""","=""L22715c201"""
"=""1s.22f""","=""3F*""","=""4""",9,"=""[""","=""24.55928079552667""","=""]""","=""0.00000000000025""","=""002001.000530""","=""L22715c201"""
"=""1s.22f""","=""3F*""","=""2""",5,"=""[""","=""24.55928080193925""","=""]""","=""0.00000000000025""","=""002001.000480""","=""L22715c201"""
"=""1s.22f""","=""1F*""","=""3""",7,"=""[""","=""24.5592808133681""","=""]""","=""0.0000000000004""","=""002001.000455""","=""L22715c201"""
"=""1s.22g""","=""3G""","=""4""",9,"=""[""","=""24.55928160483365""","=""]""","=""0.00000000000025""","=""002001.000605""","=""L22715c201"""
"=""1s.22g""","=""3G""","=""5""",11,"=""[""","=""24.55928160885036""","=""]""","=""0.00000000000025""","=""002001.000630""","=""L22715c201"""
"=""1s.22g""","=""3G""","=""3""",7,"=""[""","=""24.55928161251521""","=""]""","=""0.00000000000025""","=""002001.000580""","=""L22715c201"""
"=""1s.22g""","=""1G""","=""4""",9,"=""[""","=""24.55928161499998""","=""]""","=""0.00000000000025""","=""002001.000555""","=""L22715c201"""
"=""1s.22h""","=""3H*""","=""5""",11,"=""[""","=""24.55928180466580""","=""]""","=""0.00000000000025""","=""002001.000705""","=""L22715c201"""
"=""1s.22h""","=""3H*""","=""6""",13,"=""[""","=""24.55928180729191""","=""]""","=""0.00000000000025""","=""002001.000730""","=""L22715c201"""
"=""1s.22h""","=""3H*""","=""4""",9,"=""[""","=""24.55928180967538""","=""]""","=""0.00000000000025""","=""002001.000680""","=""L22715c201"""
"=""1s.22h""","=""1H*""","=""5""",11,"=""[""","=""24.55928181145418""","=""]""","=""0.00000000000025""","=""002001.000655""","=""L22715c201"""
"=""1s.22i""","=""3I""","=""6""",13,"=""[""","=""24.55928187016429""","=""]""","=""0.00000000000025""","=""002001.000805""","=""L22715c201"""
"=""1s.22i""","=""3I""","=""7""",15,"=""[""","=""24.55928187200633""","=""]""","=""0.00000000000025""","=""002001.000830""","=""L22715c201"""
"=""1s.22i""","=""3I""","=""5""",11,"=""[""","=""24.55928187368470""","=""]""","=""0.00000000000025""","=""002001.000780""","=""L22715c201"""
"=""1s.22i""","=""1I""","=""6""",13,"=""[""","=""24.55928187501828""","=""]""","=""0.00000000000025""","=""002001.000755""","=""L22715c201"""
"=""1s.22p""","=""1P*""","=""1""",3,"=""[""","=""24.5593128887423""","=""]""","=""0.0000000000016""","=""002001.000255""","=""L22715c201"""
"=""1s.23s""","=""3S""","=""1""",3,"=""[""","=""24.560996280408""","=""]""","=""0.000000000022""","=""002001.000236""","=""L22715c201"""
"=""1s.23s""","=""1S""","=""0""",1,"=""[""","=""24.56135746346""","=""]""","=""0.00000000003""","=""002001.000211""","=""L22715c201"""
"=""1s.23p""","=""3P*""","=""2""",5,"=""[""","=""24.561519420492""","=""]""","=""0.000000000009""","=""002001.000331""","=""L22715c201"""
"=""1s.23p""","=""3P*""","=""1""",3,"=""[""","=""24.561519425972""","=""]""","=""0.000000000009""","=""002001.000306""","=""L22715c201"""
"=""1s.23p""","=""3P*""","=""0""",1,"=""[""","=""24.561519493381""","=""]""","=""0.000000000010""","=""002001.000281""","=""L22715c201"""
"=""1s.23d""","=""3D""","=""3""",7,"=""[""","=""24.5616664509983""","=""]""","=""0.0000000000011""","=""002001.000431""","=""L22715c201"""
"=""1s.23d""","=""3D""","=""2""",5,"=""[""","=""24.5616664518621""","=""]""","=""0.0000000000011""","=""002001.000406""","=""L22715c201"""
"=""1s.23d""","=""3D""","=""1""",3,"=""[""","=""24.5616664638563""","=""]""","=""0.0000000000011""","=""002001.000381""","=""L22715c201"""
"=""1s.23d""","=""1D""","=""2""",5,"=""[""","=""24.5616681773862""","=""]""","=""0.0000000000007""","=""002001.000356""","=""L22715c201"""
"=""1s.23f""","=""3F*""","=""3""",7,"=""[""","=""24.5616718950023""","=""]""","=""0.0000000000005""","=""002001.000506""","=""L22715c201"""
"=""1s.23f""","=""3F*""","=""4""",9,"=""[""","=""24.56167189777009""","=""]""","=""0.00000000000025""","=""002001.000531""","=""L22715c201"""
"=""1s.23f""","=""3F*""","=""2""",5,"=""[""","=""24.56167190338211""","=""]""","=""0.00000000000025""","=""002001.000481""","=""L22715c201"""
"=""1s.23f""","=""1F*""","=""3""",7,"=""[""","=""24.5616719134033""","=""]""","=""0.0000000000004""","=""002001.000456""","=""L22715c201"""
"=""1s.23g""","=""3G""","=""4""",9,"=""[""","=""24.56167260640773""","=""]""","=""0.00000000000025""","=""002001.000606""","=""L22715c201"""
"=""1s.23g""","=""3G""","=""5""",11,"=""[""","=""24.56167260992293""","=""]""","=""0.00000000000025""","=""002001.000631""","=""L22715c201"""
"=""1s.23g""","=""3G""","=""3""",7,"=""[""","=""24.56167261313027""","=""]""","=""0.00000000000025""","=""002001.000581""","=""L22715c201"""
"=""1s.23g""","=""1G""","=""4""",9,"=""[""","=""24.56167261530483""","=""]""","=""0.00000000000025""","=""002001.000556""","=""L22715c201"""
"=""1s.23h""","=""3H*""","=""5""",11,"=""[""","=""24.56167278143424""","=""]""","=""0.00000000000025""","=""002001.000706""","=""L22715c201"""
"=""1s.23h""","=""3H*""","=""6""",13,"=""[""","=""24.56167278373253""","=""]""","=""0.00000000000025""","=""002001.000731""","=""L22715c201"""
"=""1s.23h""","=""3H*""","=""4""",9,"=""[""","=""24.56167278581844""","=""]""","=""0.00000000000025""","=""002001.000681""","=""L22715c201"""
"=""1s.23h""","=""1H*""","=""5""",11,"=""[""","=""24.56167278737518""","=""]""","=""0.00000000000025""","=""002001.000656""","=""L22715c201"""
"=""1s.23i""","=""3I""","=""6""",13,"=""[""","=""24.56167283882329""","=""]""","=""0.00000000000025""","=""002001.000806""","=""L22715c201"""
"=""1s.23i""","=""3I""","=""7""",15,"=""[""","=""24.56167284043534""","=""]""","=""0.00000000000025""","=""002001.000831""","=""L22715c201"""
"=""1s.23i""","=""3I""","=""5""",11,"=""[""","=""24.56167284190418""","=""]""","=""0.00000000000025""","=""002001.000781""","=""L22715c201"""
"=""1s.23i""","=""1I""","=""6""",13,"=""[""","=""24.56167284307112""","=""]""","=""0.00000000000025""","=""002001.000756""","=""L22715c201"""
"=""1s.23p""","=""1P*""","=""1""",3,"=""[""","=""24.5616999889025""","=""]""","=""0.0000000000015""","=""002001.000256""","=""L22715c201"""
"=""1s.24s""","=""3S""","=""1""",3,"=""[""","=""24.563176245141""","=""]""","=""0.000000000020""","=""002001.000237""","=""L22715c201"""
"=""1s.24s""","=""1S""","=""0""",1,"=""[""","=""24.563493750576""","=""]""","=""0.000000000024""","=""002001.000212""","=""L22715c201"""
"=""1s.24p""","=""3P*""","=""2""",5,"=""[""","=""24.563636199254""","=""]""","=""0.000000000008""","=""002001.000332""","=""L22715c201"""
"=""1s.24p""","=""3P*""","=""1""",3,"=""[""","=""24.563636204075""","=""]""","=""0.000000000008""","=""002001.000307""","=""L22715c201"""
"=""1s.24p""","=""3P*""","=""0""",1,"=""[""","=""24.563636263378""","=""]""","=""0.000000000009""","=""002001.000282""","=""L22715c201"""
"=""1s.24d""","=""3D""","=""3""",7,"=""[""","=""24.5637655848143""","=""]""","=""0.0000000000010""","=""002001.000432""","=""L22715c201"""
"=""1s.24d""","=""3D""","=""2""",5,"=""[""","=""24.5637655855747""","=""]""","=""0.0000000000010""","=""002001.000407""","=""L22715c201"""
"=""1s.24d""","=""3D""","=""1""",3,"=""[""","=""24.5637655961309""","=""]""","=""0.0000000000010""","=""002001.000382""","=""L22715c201"""
"=""1s.24d""","=""1D""","=""2""",5,"=""[""","=""24.5637671052423""","=""]""","=""0.0000000000007""","=""002001.000357""","=""L22715c201"""
"=""1s.24f""","=""3F*""","=""3""",7,"=""[""","=""24.5637703776417""","=""]""","=""0.0000000000004""","=""002001.000507""","=""L22715c201"""
"=""1s.24f""","=""3F*""","=""4""",9,"=""[""","=""24.56377038007413""","=""]""","=""0.00000000000025""","=""002001.000532""","=""L22715c201"""
"=""1s.24f""","=""3F*""","=""2""",5,"=""[""","=""24.56377038501341""","=""]""","=""0.00000000000025""","=""002001.000482""","=""L22715c201"""
"=""1s.24f""","=""1F*""","=""3""",7,"=""[""","=""24.5637703938482""","=""]""","=""0.0000000000004""","=""002001.000457""","=""L22715c201"""
"=""1s.24g""","=""3G""","=""4""",9,"=""[""","=""24.56377100405684""","=""]""","=""0.00000000000025""","=""002001.000607""","=""L22715c201"""
"=""1s.24g""","=""3G""","=""5""",11,"=""[""","=""24.56377100715062""","=""]""","=""0.00000000000025""","=""002001.000632""","=""L22715c201"""
"=""1s.24g""","=""3G""","=""3""",7,"=""[""","=""24.56377100997349""","=""]""","=""0.00000000000025""","=""002001.000582""","=""L22715c201"""
"=""1s.24g""","=""1G""","=""4""",9,"=""[""","=""24.56377101188744""","=""]""","=""0.00000000000025""","=""002001.000557""","=""L22715c201"""
"=""1s.24h""","=""3H*""","=""5""",11,"=""[""","=""24.56377115821408""","=""]""","=""0.00000000000025""","=""002001.000707""","=""L22715c201"""
"=""1s.24h""","=""3H*""","=""6""",13,"=""[""","=""24.56377116023689""","=""]""","=""0.00000000000025""","=""002001.000732""","=""L22715c201"""
"=""1s.24h""","=""3H*""","=""4""",9,"=""[""","=""24.56377116207272""","=""]""","=""0.00000000000025""","=""002001.000682""","=""L22715c201"""
"=""1s.24h""","=""1H*""","=""5""",11,"=""[""","=""24.56377116344287""","=""]""","=""0.00000000000025""","=""002001.000657""","=""L22715c201"""
"=""1s.24i""","=""3I""","=""6""",13,"=""[""","=""24.56377120877645""","=""]""","=""0.00000000000025""","=""002001.000807""","=""L22715c201"""
"=""1s.24i""","=""3I""","=""7""",15,"=""[""","=""24.56377121019533""","=""]""","=""0.00000000000025""","=""002001.000832""","=""L22715c201"""
"=""1s.24i""","=""3I""","=""5""",11,"=""[""","=""24.56377121148811""","=""]""","=""0.00000000000025""","=""002001.000782""","=""L22715c201"""
"=""1s.24i""","=""1I""","=""6""",13,"=""[""","=""24.56377121251520""","=""]""","=""0.00000000000025""","=""002001.000757""","=""L22715c201"""
"=""1s.24p""","=""1P*""","=""1""",3,"=""[""","=""24.5637951076943""","=""]""","=""0.0000000000014""","=""002001.000257""","=""L22715c201"""
"=""1s.25s""","=""3S""","=""1""",3,"=""[""","=""24.565096865986""","=""]""","=""0.000000000017""","=""002001.000238""","=""L22715c201"""
"=""1s.25s""","=""1S""","=""0""",1,"=""[""","=""24.565377461944""","=""]""","=""0.000000000021""","=""002001.000213""","=""L22715c201"""
"=""1s.25p""","=""3P*""","=""2""",5,"=""[""","=""24.565503414208""","=""]""","=""0.000000000007""","=""002001.000333""","=""L22715c201"""
"=""1s.25p""","=""3P*""","=""1""",3,"=""[""","=""24.565503418471""","=""]""","=""0.000000000007""","=""002001.000308""","=""L22715c201"""
"=""1s.25p""","=""3P*""","=""0""",1,"=""[""","=""24.565503470918""","=""]""","=""0.000000000008""","=""002001.000283""","=""L22715c201"""
"=""1s.25d""","=""3D""","=""3""",7,"=""[""","=""24.5656178688224""","=""]""","=""0.0000000000009""","=""002001.000433""","=""L22715c201"""
"=""1s.25d""","=""3D""","=""2""",5,"=""[""","=""24.5656178694953""","=""]""","=""0.0000000000009""","=""002001.000408""","=""L22715c201"""
"=""1s.25d""","=""3D""","=""1""",3,"=""[""","=""24.5656178788346""","=""]""","=""0.0000000000009""","=""002001.000383""","=""L22715c201"""
"=""1s.25d""","=""1D""","=""2""",5,"=""[""","=""24.5656192147580""","=""]""","=""0.0000000000006""","=""002001.000358""","=""L22715c201"""
"=""1s.25f""","=""3F*""","=""3""",7,"=""[""","=""24.5656221102725""","=""]""","=""0.0000000000004""","=""002001.000508""","=""L22715c201"""
"=""1s.25f""","=""3F*""","=""4""",9,"=""[""","=""24.56562211242163""","=""]""","=""0.00000000000025""","=""002001.000533""","=""L22715c201"""
"=""1s.25f""","=""3F*""","=""2""",5,"=""[""","=""24.56562211679146""","=""]""","=""0.00000000000025""","=""002001.000483""","=""L22715c201"""
"=""1s.25f""","=""1F*""","=""3""",7,"=""[""","=""24.56562212461957""","=""]""","=""0.00000000000025""","=""002001.000458""","=""L22715c201"""
"=""1s.25g""","=""3G""","=""4""",9,"=""[""","=""24.56562266470429""","=""]""","=""0.00000000000025""","=""002001.000608""","=""L22715c201"""
"=""1s.25g""","=""3G""","=""5""",11,"=""[""","=""24.56562266744136""","=""]""","=""0.00000000000025""","=""002001.000633""","=""L22715c201"""
"=""1s.25g""","=""3G""","=""3""",7,"=""[""","=""24.56562266993890""","=""]""","=""0.00000000000025""","=""002001.000583""","=""L22715c201"""
"=""1s.25g""","=""1G""","=""4""",9,"=""[""","=""24.56562267163228""","=""]""","=""0.00000000000025""","=""002001.000558""","=""L22715c201"""
"=""1s.25h""","=""3H*""","=""5""",11,"=""[""","=""24.56562280117866""","=""]""","=""0.00000000000025""","=""002001.000708""","=""L22715c201"""
"=""1s.25h""","=""3H*""","=""6""",13,"=""[""","=""24.56562280296836""","=""]""","=""0.00000000000025""","=""002001.000733""","=""L22715c201"""
"=""1s.25h""","=""3H*""","=""4""",9,"=""[""","=""24.56562280459268""","=""]""","=""0.00000000000025""","=""002001.000683""","=""L22715c201"""
"=""1s.25h""","=""1H*""","=""5""",11,"=""[""","=""24.56562280580487""","=""]""","=""0.00000000000025""","=""002001.000658""","=""L22715c201"""
"=""1s.25i""","=""3I""","=""6""",13,"=""[""","=""24.56562284595393""","=""]""","=""0.00000000000025""","=""002001.000808""","=""L22715c201"""
"=""1s.25i""","=""3I""","=""7""",15,"=""[""","=""24.56562284720915""","=""]""","=""0.00000000000025""","=""002001.000833""","=""L22715c201"""
"=""1s.25i""","=""3I""","=""5""",11,"=""[""","=""24.56562284835291""","=""]""","=""0.00000000000025""","=""002001.000783""","=""L22715c201"""
"=""1s.25i""","=""1I""","=""6""",13,"=""[""","=""24.56562284926171""","=""]""","=""0.00000000000025""","=""002001.000758""","=""L22715c201"""
"=""1s.25p""","=""1P*""","=""1""",3,"=""[""","=""24.5656439926761""","=""]""","=""0.0000000000011""","=""002001.000258""","=""L22715c201"""
"=""1s.26s""","=""3S""","=""1""",3,"=""[""","=""24.566797707089""","=""]""","=""0.000000000016""","=""002001.000239""","=""L22715c201"""
"=""1s.26s""","=""1S""","=""0""",1,"=""[""","=""24.567046899898""","=""]""","=""0.000000000019""","=""002001.000214""","=""L22715c201"""
"=""1s.26p""","=""3P*""","=""2""",5,"=""[""","=""24.567158808062""","=""]""","=""0.000000000007""","=""002001.000334""","=""L22715c201"""
"=""1s.26p""","=""3P*""","=""1""",3,"=""[""","=""24.567158811850""","=""]""","=""0.000000000007""","=""002001.000309""","=""L22715c201"""
"=""1s.26p""","=""3P*""","=""0""",1,"=""[""","=""24.567158858459""","=""]""","=""0.000000000007""","=""002001.000284""","=""L22715c201"""
"=""1s.26d""","=""3D""","=""3""",7,"=""[""","=""24.5672605433840""","=""]""","=""0.0000000000009""","=""002001.000434""","=""L22715c201"""
"=""1s.26d""","=""3D""","=""2""",5,"=""[""","=""24.5672605439822""","=""]""","=""0.0000000000009""","=""002001.000409""","=""L22715c201"""
"=""1s.26d""","=""3D""","=""1""",3,"=""[""","=""24.5672605522847""","=""]""","=""0.0000000000009""","=""002001.000384""","=""L22715c201"""
"=""1s.26d""","=""1D""","=""2""",5,"=""[""","=""24.5672617405129""","=""]""","=""0.0000000000006""","=""002001.000359""","=""L22715c201"""
"=""1s.26f""","=""3F*""","=""3""",7,"=""[""","=""24.5672643148546""","=""]""","=""0.0000000000004""","=""002001.000509""","=""L22715c201"""
"=""1s.26f""","=""3F*""","=""4""",9,"=""[""","=""24.56726431676283""","=""]""","=""0.00000000000025""","=""002001.000534""","=""L22715c201"""
"=""1s.26f""","=""3F*""","=""2""",5,"=""[""","=""24.56726432064762""","=""]""","=""0.00000000000025""","=""002001.000484""","=""L22715c201"""
"=""1s.26f""","=""1F*""","=""3""",7,"=""[""","=""24.56726432761591""","=""]""","=""0.00000000000025""","=""002001.000459""","=""L22715c201"""
"=""1s.26g""","=""3G""","=""4""",9,"=""[""","=""24.56726480791557""","=""]""","=""0.00000000000025""","=""002001.000609""","=""L22715c201"""
"=""1s.26g""","=""3G""","=""5""",11,"=""[""","=""24.56726481034876""","=""]""","=""0.00000000000025""","=""002001.000634""","=""L22715c201"""
"=""1s.26g""","=""3G""","=""3""",7,"=""[""","=""24.56726481256906""","=""]""","=""0.00000000000025""","=""002001.000584""","=""L22715c201"""
